,Player,Club,POS,GP,GS,MINS,SHTS,SV,GA,GAA,PKG/A,W,L,T,ShO,W%,Sv%,Year,Season,Club_Name
477,Jon Conway,NY,GK,28,28,2520,146,98,42,1.5,2/3,9,10,9,7,32.1,67.1,2008,reg,
478,Dario Sala,DAL,GK,28,28,2520,131,92,37,1.32,1/1,8,8,12,7,28.6,70.2,2008,reg,FC Dallas
479,Pat Onstad,HOU,GK,24,24,2098,105,76,24,1.0,0/1,10,4,9,7,41.7,72.4,2008,reg,Houston Dynamo FC
480,Greg Sutton,TOR,GK,24,24,2160,160,116,35,1.46,6/7,7,10,7,6,29.2,72.5,2008,reg,Toronto FC
481,Steve Cronin,LA,GK,22,22,1935,141,92,44,2.0,3/3,6,9,6,2,27.3,65.2,2008,reg,LA Galaxy
482,Zach Wells,DC,GK,17,17,1530,85,56,28,1.65,0/0,8,8,1,1,47.1,65.9,2008,reg,DC United
483,Bouna Coundoul,COL,GK,17,17,1530,77,54,21,1.24,3/3,6,8,3,5,35.3,70.1,2008,reg,Colorado Rapids
484,Brad Guzan,ATL,GK,15,15,1350,71,48,20,1.33,1/1,6,5,4,4,40.0,67.6,2008,reg,Atlanta United FC
485,Preston Burpo,COL,GK,13,13,1170,63,37,24,1.85,1/2,5,6,2,3,38.5,58.7,2008,reg,Colorado Rapids
486,Louis Crayton,DC,GK,12,12,1080,64,43,19,1.58,0/0,3,6,3,4,25.0,67.2,2008,reg,DC United
487,Dan Kennedy,CHV,GK,9,8,699,33,23,8,1.0,1/2,4,3,0,3,44.4,69.7,2008,reg,Chivas USA
488,Zach Thornton,CHV,GK,8,7,651,32,16,13,1.86,1/1,2,3,3,1,25.0,50.0,2008,reg,Chivas USA
489,Tony Caig,HOU,GK,7,6,602,36,24,8,1.33,0/0,3,1,3,3,42.9,66.7,2008,reg,Houston Dynamo FC
490,Josh Wicks,LA,GK,6,5,495,33,20,12,2.4,0/0,1,2,3,0,16.7,60.6,2008,reg,LA Galaxy
491,Brian Edwards,TOR,GK,6,6,540,31,23,8,1.33,0/0,2,3,1,2,33.3,74.2,2008,reg,Toronto FC
492,Doug Warren,NE,GK,3,2,215,10,5,5,2.5,0/0,1,0,1,0,33.3,50.0,2008,reg,New England Revolution
493,Josh Saunders,LA,GK,3,3,270,13,8,6,2.0,1/1,1,2,0,0,33.3,61.5,2008,reg,LA Galaxy
494,Ray Burse,DAL,GK,2,2,180,16,12,4,2.0,1/1,0,2,0,0,0.0,75.0,2008,reg,FC Dallas
495,Danny Cepero,NY,GK,2,2,180,11,5,6,3.0,0/0,1,1,0,0,50.0,45.5,2008,reg,
496,Andy Gruenebaum,CLB,GK,1,1,90,5,2,3,3.0,0/0,0,1,0,0,0.0,40.0,2008,reg,Columbus Crew SC
497,Jose Carvallo,DC,GK,1,1,90,6,2,4,4.0,0/0,0,1,0,0,0.0,33.3,2008,reg,DC United
498,Caleb Patterson-Sewell,NY,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2008,reg,
499,Lance Parker,CHV,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2008,reg,Chivas USA
500,Josh Lambo,DAL,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2008,reg,FC Dallas
501,Corbin Waller,HOU,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2008,reg,Houston Dynamo FC
502,Charles Alamo,LA,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2008,reg,LA Galaxy
503,Vito Higgins,LA,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2008,reg,LA Galaxy
504,Kenny Schoeni,CLB,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2008,reg,Columbus Crew SC
505,David Monsalve,DAL,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2008,reg,FC Dallas
506,Justin Hughes,COL,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2008,reg,Colorado Rapids
507,Eric Kronberg,KC,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2008,reg,
508,Boris Pardo,KC,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2008,reg,
509,Brad Knighton,NE,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2008,reg,New England Revolution
510,Nick Noble,CHI,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2008,reg,Chicago Fire FC
511,Terry Boss,NY,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2008,reg,
512,Tyler Kettering,CHI,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2008,reg,Chicago Fire FC
513,Andrew Kartunen,KC,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2008,reg,
514,Chris Sharpe,COL,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2008,reg,Colorado Rapids
515,Kyle Reynish,RSL,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2008,reg,Real Salt Lake
516,Chris Seitz,DC,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2008,reg,DC United
517,Mike Graczyk,COL,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2008,reg,Colorado Rapids
518,Dan Benton,SJ,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2008,reg,San Jose Earthquakes
519,James Thorpe,DC,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2008,reg,DC United
520,Michael Gustavson,SJ,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2008,reg,San Jose Earthquakes
521,Pat Onstad,HOU,GK,30,30,2700,121,89,29,0.97,2/4,13,8,9,10,43.3,73.6,2009,reg,Houston Dynamo FC
522,Jon Busch,CHI,GK,30,30,2700,136,103,34,1.13,5/5,11,7,12,10,36.7,75.7,2009,reg,Chicago Fire FC
523,Kevin Hartman,KC,GK,30,30,2700,153,105,42,1.4,3/4,8,13,9,7,26.7,68.6,2009,reg,
524,Kasey Keller,SEA,GK,29,29,2549,108,78,26,0.9,1/3,12,5,11,10,41.4,72.2,2009,reg,Seattle Sounders FC
525,Joe Cannon,SJ,GK,28,28,2520,147,97,47,1.68,3/3,6,14,8,3,21.4,66.0,2009,reg,San Jose Earthquakes
526,Zach Thornton,CHV,GK,27,27,2385,111,83,23,0.85,2/2,12,9,6,12,44.4,74.8,2009,reg,Chivas USA
527,Donovan Ricketts,LA,GK,26,26,2274,112,82,26,1.0,4/5,10,5,10,9,38.5,73.2,2009,reg,LA Galaxy
528,Nick Rimando,RSL,GK,26,26,2285,108,73,29,1.12,0/2,10,10,6,9,38.5,67.6,2009,reg,Real Salt Lake
529,Stefan Frei,SEA,GK,26,26,2295,141,98,38,1.46,3/4,9,9,7,5,34.6,69.5,2009,reg,Seattle Sounders FC
530,Matt Reis,NE,GK,24,24,2160,140,114,23,0.96,2/3,10,8,6,8,41.7,81.4,2009,reg,New England Revolution
531,Josh Wicks,DC,GK,19,19,1672,104,78,26,1.37,4/5,5,5,8,5,26.3,75.0,2009,reg,DC United
532,Matt Pickens,COL,GK,19,19,1710,63,39,22,1.16,4/4,9,6,4,7,47.4,61.9,2009,reg,Colorado Rapids
533,William Hesmer,CLB,GK,19,19,1710,86,68,18,0.95,0/0,9,4,6,7,47.4,79.1,2009,reg,Columbus Crew SC
534,Ray Burse,DAL,GK,17,16,1503,92,62,27,1.69,2/2,4,8,5,1,23.5,67.4,2009,reg,FC Dallas
535,Dario Sala,DAL,GK,14,14,1195,63,43,20,1.43,2/2,7,5,1,4,50.0,68.3,2009,reg,FC Dallas
536,Danny Cepero,NY,GK,13,13,1088,85,62,21,1.62,0/1,2,8,3,0,15.4,72.9,2009,reg,
537,Preston Burpo,COL,GK,11,11,990,41,23,16,1.45,1/1,1,4,6,1,9.1,56.1,2009,reg,Colorado Rapids
538,Andy Gruenebaum,CLB,GK,10,10,900,36,21,12,1.2,1/2,4,2,4,1,40.0,58.3,2009,reg,Columbus Crew SC
539,Jon Conway,CHV,GK,9,9,810,51,33,16,1.78,4/4,1,7,1,1,11.1,64.7,2009,reg,Chivas USA
540,Bouna Coundoul,NY,GK,8,8,720,46,32,10,1.25,1/2,2,4,2,2,25.0,69.6,2009,reg,
541,Josh Saunders,LA,GK,6,4,426,18,12,5,1.25,1/1,2,1,2,2,33.3,66.7,2009,reg,LA Galaxy
542,Brad Knighton,NE,GK,6,6,540,49,36,14,2.33,0/0,1,2,3,0,16.7,73.5,2009,reg,New England Revolution
543,Louis Crayton,DC,GK,6,6,540,31,21,8,1.33,0/0,2,1,3,1,33.3,67.7,2009,reg,DC United
544,Milos Kocic,DC,GK,4,3,308,16,9,8,2.67,0/0,1,2,1,0,25.0,56.3,2009,reg,DC United
545,Lance Parker,CHV,GK,4,3,315,19,11,8,2.67,1/1,1,2,0,1,25.0,57.9,2009,reg,Chivas USA
546,Chris Seitz,DC,GK,4,4,360,20,13,5,1.25,1/1,1,2,1,1,25.0,65.0,2009,reg,DC United
547,Brian Edwards,TOR,GK,3,3,270,17,11,6,2.0,1/1,1,1,1,1,33.3,64.7,2009,reg,Toronto FC
548,Greg Sutton,TOR,GK,2,1,135,5,3,2,2.0,0/0,0,1,1,0,0.0,60.0,2009,reg,Toronto FC
549,Steve Cronin,DC,GK,2,2,180,12,9,2,1.0,1/1,1,0,1,1,50.0,75.0,2009,reg,DC United
550,Andrew Weber,SJ,GK,2,2,180,17,11,3,1.5,0/0,1,0,1,0,50.0,64.7,2009,reg,San Jose Earthquakes
551,Kyle Reynish,RSL,GK,1,0,55,2,1,1,1.0,0/0,0,0,0,0,0.0,50.0,2009,reg,Real Salt Lake
552,Ben Dragavon,SEA,GK,1,0,61,3,2,1,1.0,0/0,0,1,0,0,0.0,66.7,2009,reg,Seattle Sounders FC
553,Alec Dufty,NY,GK,1,0,82,2,2,0,0.0,0/0,0,0,0,0,0.0,100.0,2009,reg,
554,Chris Eylander,SEA,GK,1,1,90,3,1,2,2.0,0/0,0,1,0,0,0.0,33.3,2009,reg,Seattle Sounders FC
555,Kenny Schoeni,CLB,GK,1,1,90,5,4,1,1.0,0/0,0,1,0,0,0.0,80.0,2009,reg,Columbus Crew SC
556,Josh Lambo,DAL,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2009,reg,FC Dallas
557,Dan Kennedy,CHV,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2009,reg,Chivas USA
558,Mike Graczyk,SJ,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2009,reg,San Jose Earthquakes
559,Tally Hall,HOU,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2009,reg,Houston Dynamo FC
560,Nick Noble,CHI,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2009,reg,Chicago Fire FC
561,Eric Kronberg,KC,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2009,reg,
562,Boris Pardo,KC,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2009,reg,
563,Zack Simmons,NE,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2009,reg,New England Revolution
564,Terry Boss,SEA,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2009,reg,Seattle Sounders FC
565,Steward Ceus,COL,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2009,reg,Colorado Rapids
566,Andrew Dykstra,CHI,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2009,reg,Chicago Fire FC
567,Bobby Shuttleworth,CHI,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2009,reg,Chicago Fire FC
568,Tyler Deric,HOU,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2009,reg,Houston Dynamo FC
569,Kasey Keller,SEA,GK,30,30,2655,119,82,34,1.13,4/5,14,10,5,11,46.7,68.9,2010,reg,Seattle Sounders FC
570,William Hesmer,CLB,GK,30,30,2700,122,84,33,1.1,4/4,14,8,8,11,46.7,68.9,2010,reg,Columbus Crew SC
571,Donovan Ricketts,LA,GK,29,29,2610,104,79,26,0.9,1/1,18,7,4,11,62.1,76.0,2010,reg,LA Galaxy
572,Matt Pickens,COL,GK,29,29,2610,120,88,32,1.1,4/4,11,8,10,7,37.9,73.3,2010,reg,Colorado Rapids
573,Jimmy Nielsen,KC,GK,29,29,2610,114,80,34,1.17,1/1,10,13,6,10,34.5,70.2,2010,reg,
574,Stefan Frei,SEA,GK,28,28,2520,153,108,37,1.32,6/6,8,13,7,8,28.6,70.6,2010,reg,Seattle Sounders FC
575,Bouna Coundoul,NY,GK,27,27,2430,134,105,28,1.04,1/2,14,8,5,11,51.9,78.4,2010,reg,
576,Nick Rimando,RSL,GK,27,27,2430,100,78,18,0.67,4/4,15,4,8,14,55.6,78.0,2010,reg,Real Salt Lake
577,Zach Thornton,CHV,GK,23,23,2015,97,63,33,1.43,3/3,6,12,3,6,26.1,64.9,2010,reg,Chivas USA
578,Chris Seitz,DC,GK,23,22,2047,114,68,41,1.86,4/5,5,12,6,0,21.7,59.6,2010,reg,DC United
579,Pat Onstad,HOU,GK,23,23,2070,90,49,40,1.74,0/0,6,12,5,4,26.1,54.4,2010,reg,Houston Dynamo FC
580,Troy Perkins,DC,GK,22,22,1980,109,72,37,1.68,2/3,3,15,4,5,13.6,66.1,2010,reg,DC United
581,Kevin Hartman,DAL,GK,20,20,1755,71,56,12,0.6,1/2,10,1,8,9,50.0,78.9,2010,reg,FC Dallas
582,Jon Busch,SJ,GK,18,18,1620,104,81,19,1.06,0/0,7,6,5,7,38.9,77.9,2010,reg,San Jose Earthquakes
583,Andrew Dykstra,CHI,GK,17,17,1530,80,55,21,1.24,2/2,5,6,6,5,29.4,68.8,2010,reg,Chicago Fire FC
584,Matt Reis,NE,GK,14,14,1260,79,51,25,1.79,2/3,4,7,3,3,28.6,64.6,2010,reg,New England Revolution
585,Sean Johnson,NYC,GK,13,13,1170,69,52,17,1.31,4/5,4,6,3,3,30.8,75.4,2010,reg,New York City FC
586,Joe Cannon,SJ,GK,12,12,1080,55,38,14,1.17,0/0,6,4,2,6,50.0,69.1,2010,reg,San Jose Earthquakes
587,Preston Burpo,NE,GK,11,11,939,65,48,16,1.45,0/0,2,6,2,2,18.2,73.8,2010,reg,New England Revolution
588,Dario Sala,DAL,GK,11,10,945,50,34,16,1.6,1/2,2,3,6,1,18.2,68.0,2010,reg,FC Dallas
589,Brad Knighton,NE,GK,8,8,652,33,23,8,1.0,0/0,3,3,1,2,37.5,69.7,2010,reg,New England Revolution
590,Bill Hamid,DC,GK,8,8,720,31,20,10,1.25,0/0,3,5,0,1,37.5,64.5,2010,reg,DC United
591,Dan Kennedy,CHV,GK,7,6,594,31,22,8,1.33,0/0,2,4,1,0,28.6,71.0,2010,reg,Chivas USA
592,Bobby Shuttleworth,CHI,GK,6,5,501,27,18,9,1.8,0/0,3,3,0,1,50.0,66.7,2010,reg,Chicago Fire FC
593,Tally Hall,HOU,GK,5,5,450,26,18,8,1.6,0/0,1,3,1,1,20.0,69.2,2010,reg,Houston Dynamo FC
594,Kyle Reynish,RSL,GK,3,3,270,13,11,2,0.67,0/0,0,0,3,1,0.0,84.6,2010,reg,Real Salt Lake
595,Greg Sutton,NY,GK,3,3,270,10,9,1,0.33,0/0,1,1,1,2,33.3,90.0,2010,reg,
596,Milos Kocic,TOR,GK,2,1,107,8,5,3,3.0,1/1,1,0,1,0,50.0,62.5,2010,reg,Toronto FC
597,Tyler Deric,HOU,GK,2,2,180,9,8,1,0.5,0/0,2,0,0,1,100.0,88.9,2010,reg,Houston Dynamo FC
598,Terry Boss,SEA,GK,1,0,45,2,1,1,1.0,1/1,0,0,1,0,0.0,50.0,2010,reg,Seattle Sounders FC
599,Jon Conway,TOR,GK,1,1,72,2,2,1,1.0,0/0,0,0,0,0,0.0,100.0,2010,reg,Toronto FC
600,Eric Kronberg,KC,GK,1,1,90,4,3,1,1.0,0/0,1,0,0,0,100.0,75.0,2010,reg,
601,Kevin Guppy,CHV,GK,1,1,90,9,6,3,3.0,1/1,0,1,0,0,0.0,66.7,2010,reg,Chivas USA
602,Josh Saunders,LA,GK,1,1,90,1,1,0,0.0,0/0,0,0,1,1,0.0,100.0,2010,reg,LA Galaxy
603,Ian Joyce,COL,GK,1,1,90,4,4,0,0.0,0/0,1,0,0,1,100.0,100.0,2010,reg,Colorado Rapids
604,Josh Lambo,DAL,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2010,reg,FC Dallas
605,Josh Wicks,DC,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2010,reg,DC United
606,Kenny Schoeni,CLB,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2010,reg,Columbus Crew SC
607,Steward Ceus,COL,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2010,reg,Colorado Rapids
608,Andrew Weber,SJ,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2010,reg,San Jose Earthquakes
609,Andy Gruenebaum,CLB,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2010,reg,Columbus Crew SC
610,Andrew Quinn,DC,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2010,reg,DC United
611,Tim Murray,NE,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2010,reg,New England Revolution
612,Tim Melia,SKC,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2010,reg,Sporting Kansas City
613,Jon Kempin,CLB,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2010,reg,Columbus Crew SC
614,Brian Perk,LA,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2010,reg,LA Galaxy
615,Kasey Keller,SEA,GK,34,34,3060,145,110,37,1.09,3/4,18,7,9,9,52.9,75.9,2011,reg,Seattle Sounders FC
616,Matt Pickens,COL,GK,34,34,3060,116,76,41,1.21,2/2,12,9,13,8,35.3,65.5,2011,reg,Colorado Rapids
617,Tally Hall,HOU,GK,34,34,3060,143,99,41,1.21,5/5,12,9,13,6,35.3,69.2,2011,reg,Houston Dynamo FC
618,Kevin Hartman,DAL,GK,33,33,2970,124,85,35,1.06,3/3,15,11,7,13,45.5,68.5,2011,reg,FC Dallas
619,Nick Rimando,RSL,GK,33,33,2970,134,95,36,1.09,5/7,14,11,8,13,42.4,70.9,2011,reg,Real Salt Lake
620,Jon Busch,SJ,GK,33,33,2970,160,113,44,1.33,4/4,7,12,14,7,21.2,70.6,2011,reg,San Jose Earthquakes
621,William Hesmer,CLB,GK,32,32,2880,135,92,44,1.38,3/4,11,13,8,8,34.4,68.1,2011,reg,Columbus Crew SC
622,Dan Kennedy,CHV,GK,32,32,2880,142,100,39,1.22,2/4,8,12,12,9,25.0,70.4,2011,reg,Chivas USA
623,Jimmy Nielsen,KC,GK,31,31,2767,114,79,35,1.13,1/2,12,8,11,7,38.7,69.3,2011,reg,
624,Troy Perkins,POR,GK,29,29,2610,132,91,38,1.31,5/5,9,12,8,9,31.0,68.9,2011,reg,Portland Timbers
625,Bill Hamid,DC,GK,28,28,2392,114,77,37,1.32,4/4,7,9,10,7,25.0,67.5,2011,reg,DC United
626,Sean Johnson,NYC,GK,28,28,2520,115,76,37,1.32,2/4,9,7,12,7,32.1,66.1,2011,reg,New York City FC
627,Faryd Mondragón,PHI,GK,27,27,2385,79,49,28,1.04,2/2,8,8,11,7,29.6,62.0,2011,reg,Philadelphia Union
628,Stefan Frei,SEA,GK,27,27,2406,155,106,49,1.81,4/4,3,12,11,6,11.1,68.4,2011,reg,Seattle Sounders FC
629,Matt Reis,NE,GK,27,27,2430,159,111,43,1.59,6/7,5,12,10,5,18.5,69.8,2011,reg,New England Revolution
630,Joe Cannon,VAN,GK,20,20,1800,99,66,32,1.6,3/3,4,12,4,3,20.0,66.7,2011,reg,Vancouver Whitecaps
631,Josh Saunders,LA,GK,19,18,1639,73,55,17,0.94,2/2,12,2,4,8,63.2,75.3,2011,reg,LA Galaxy
632,Donovan Ricketts,LA,GK,15,15,1284,54,41,11,0.73,1/1,7,3,4,7,46.7,75.9,2011,reg,LA Galaxy
633,Jay Nolly,VAN,GK,14,14,1260,63,39,23,1.64,3/4,2,6,6,2,14.3,61.9,2011,reg,Vancouver Whitecaps
634,Bouna Coundoul,NY,GK,12,11,1035,51,37,13,1.18,1/1,3,2,6,3,25.0,72.5,2011,reg,
635,Frank Rost,NY,GK,11,11,945,40,26,14,1.27,0/0,4,4,3,5,36.4,65.0,2011,reg,
636,Greg Sutton,NY,GK,10,10,900,44,30,15,1.5,2/5,3,2,5,2,30.0,68.2,2011,reg,
637,Milos Kocic,TOR,GK,8,7,654,47,35,10,1.43,0/0,3,1,4,1,37.5,74.5,2011,reg,Toronto FC
638,Zac MacMath,RSL,GK,8,7,675,25,16,8,1.14,1/1,3,0,4,3,37.5,64.0,2011,reg,Real Salt Lake
639,Bobby Shuttleworth,CHI,GK,7,7,630,32,17,15,2.14,1/1,0,4,3,0,0.0,53.1,2011,reg,Chicago Fire FC
640,Jon Conway,CHI,GK,6,6,540,24,15,8,1.33,0/0,0,2,4,1,0.0,62.5,2011,reg,Chicago Fire FC
641,Eric Kronberg,KC,GK,4,3,292,15,10,5,1.67,1/1,1,1,1,1,25.0,66.7,2011,reg,
642,Jake Gleeson,POR,GK,4,3,315,17,12,6,2.0,0/0,2,0,1,0,50.0,70.6,2011,reg,Portland Timbers
643,Joe Willis,NSH,GK,3,3,270,16,12,4,1.33,0/0,1,2,0,1,33.3,75.0,2011,reg,Nashville SC
644,Pat Onstad,DC,GK,3,3,270,16,8,7,2.33,2/2,1,2,0,0,33.3,50.0,2011,reg,DC United
645,Steve Cronin,DC,GK,2,0,126,10,6,4,4.0,0/0,0,0,2,0,0.0,60.0,2011,reg,DC United
646,Adin Brown,POR,GK,2,2,135,9,5,4,2.0,0/0,0,2,0,0,0.0,55.6,2011,reg,Portland Timbers
647,Zach Thornton,CHV,GK,2,2,180,7,3,4,2.0,0/0,0,2,0,0,0.0,42.9,2011,reg,Chivas USA
648,Andy Gruenebaum,CLB,GK,2,2,180,5,5,0,0.0,0/0,2,0,0,2,100.0,100.0,2011,reg,Columbus Crew SC
649,Kyle Reynish,RSL,GK,1,1,90,2,2,0,0.0,0/0,1,0,0,1,100.0,100.0,2011,reg,Real Salt Lake
650,Chris Seitz,DC,GK,1,1,90,9,5,4,4.0,1/1,0,1,0,0,0.0,55.6,2011,reg,DC United
651,Chris Konopka,NY,GK,1,1,90,4,2,2,2.0,0/0,0,0,1,0,0.0,50.0,2011,reg,
652,Brian Perk,LA,GK,1,1,90,2,2,0,0.0,0/1,0,0,1,1,0.0,100.0,2011,reg,LA Galaxy
653,David Bingham,LA,GK,1,1,90,5,4,1,1.0,0/0,1,0,0,0,100.0,80.0,2011,reg,LA Galaxy
654,Alex Horwath,NY,GK,1,1,90,4,4,0,0.0,0/0,0,0,1,1,0.0,100.0,2011,reg,
655,Alec Dufty,CHI,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2011,reg,Chicago Fire FC
656,Jon Kempin,CLB,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2011,reg,Columbus Crew SC
657,Alex Riggs,CLB,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2011,reg,Columbus Crew SC
658,Tyler Deric,HOU,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2011,reg,Houston Dynamo FC
659,Tim Murray,NE,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2011,reg,New England Revolution
660,Tim Melia,SKC,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2011,reg,Sporting Kansas City
661,Evan Newton,HOU,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2011,reg,Houston Dynamo FC
662,Richard Sanchez,SKC,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2011,reg,Sporting Kansas City
663,Brian Sylvestre,VAN,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2011,reg,Vancouver Whitecaps
664,Thorne Holder,PHI,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2011,reg,Philadelphia Union
665,Josh Ford,SEA,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2011,reg,Seattle Sounders FC
666,Chase Harrison,PHI,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2011,reg,Philadelphia Union
667,Bryan Meredith,VAN,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2011,reg,Vancouver Whitecaps
668,Sergio Arias,CHV,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2011,reg,Chivas USA
669,Ian Joyce,COL,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2011,reg,Colorado Rapids
670,Josh Lambo,DAL,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2011,reg,FC Dallas
671,Andrew Weber,SJ,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2011,reg,San Jose Earthquakes
672,Terry Boss,SEA,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2011,reg,Seattle Sounders FC
673,Steward Ceus,COL,GK,0,0,0,0,0,0,0.0,0/0,0,0,0,0,0.0,0.0,2011,reg,Colorado Rapids
674,Jimmy Nielsen,KC,GK,34,34,3060,102,77,27,0.79,3/4,18,7,9,15,52.9,75.5,2012,reg,
675,Donovan Ricketts,MTL,GK,33,33,2913,143,87,52,1.58,8/8,12,14,5,5,36.4,60.8,2012,reg,CF Montreal
676,Andy Gruenebaum,CLB,GK,33,33,2920,166,124,41,1.24,3/4,13,12,7,8,39.4,74.7,2012,reg,Columbus Crew SC
677,Tally Hall,HOU,GK,33,33,2946,129,88,39,1.18,5/5,14,8,11,12,42.4,68.2,2012,reg,Houston Dynamo FC
678,Jon Busch,SJ,GK,32,32,2835,123,77,40,1.25,4/5,17,5,9,7,53.1,62.6,2012,reg,San Jose Earthquakes
679,Matt Pickens,COL,GK,32,32,2859,155,107,49,1.53,1/2,9,19,4,7,28.1,69.0,2012,reg,Colorado Rapids
680,Dan Kennedy,CHV,GK,32,32,2880,167,109,54,1.69,2/2,7,17,8,7,21.9,65.3,2012,reg,Chivas USA
681,Zac MacMath,RSL,GK,32,32,2880,139,93,43,1.34,3/4,10,17,5,8,31.3,66.9,2012,reg,Real Salt Lake
682,Sean Johnson,NYC,GK,31,31,2766,143,108,38,1.23,2/3,16,10,5,5,51.6,75.5,2012,reg,New York City FC
683,Troy Perkins,MTL,GK,31,31,2767,148,101,43,1.39,4/4,8,14,8,7,25.8,68.2,2012,reg,CF Montreal
684,Nick Rimando,RSL,GK,31,31,2790,116,83,33,1.06,2/4,16,11,4,12,51.6,71.6,2012,reg,Real Salt Lake
